"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/1990","393.00","394.00","393.00","393.00","","0.00%"
"12/28/1990","393.00","394.05","393.00","393.00","","2.12%"
"12/27/1990","384.85","385.35","384.85","384.85","","0.16%"
"12/26/1990","384.25","386.25","384.25","384.25","","-1.47%"
"12/25/1990","390.00","390.75","390.00","390.00","","1.69%"
"12/24/1990","383.50","385.00","383.50","383.50","","0.54%"
"12/21/1990","381.45","384.85","381.45","381.45","","-0.57%"
"12/20/1990","383.65","388.05","383.65","383.65","","-0.16%"
"12/19/1990","384.25","385.05","384.25","384.25","","2.17%"
"12/18/1990","376.10","378.45","376.10","376.10","","-0.17%"
"12/17/1990","376.75","377.95","376.75","376.75","","0.19%"
"12/14/1990","376.05","376.85","376.05","376.05","","0.74%"
"12/13/1990","373.30","374.05","373.30","373.30","","0.42%"
"12/12/1990","371.75","373.50","371.75","371.75","","-0.13%"
"12/11/1990","372.25","375.05","372.25","372.25","","-0.27%"
"12/10/1990","373.25","375.45","373.25","373.25","","1.00%"
"12/07/1990","369.55","372.60","369.55","369.55","","-0.48%"
"12/06/1990","371.35","374.45","371.35","371.35","","-0.50%"
"12/05/1990","373.20","378.95","373.20","373.20","","-0.76%"
"12/04/1990","376.05","380.95","376.05","376.05","","0.13%"
"12/03/1990","375.55","382.65","375.55","375.55","","-1.75%"
"11/30/1990","382.25","389.35","382.25","382.25","","-1.32%"
"11/29/1990","387.35","389.75","387.35","387.35","","0.62%"
"11/28/1990","384.95","387.85","384.95","384.95","","-0.05%"
"11/27/1990","385.15","386.65","385.15","385.15","","-0.34%"
"11/26/1990","386.45","388.45","386.45","386.45","","0.60%"
"11/23/1990","384.15","384.85","384.15","384.15","","1.03%"
"11/22/1990","380.25","381.25","380.25","380.25","","0.24%"
"11/21/1990","379.35","381.25","379.35","379.35","","0.42%"
"11/20/1990","377.75","382.05","377.75","377.75","","-1.05%"
"11/19/1990","381.75","383.40","381.75","381.75","","0.69%"
"11/16/1990","379.15","380.70","379.15","379.15","","0.03%"
"11/15/1990","379.05","380.05","379.05","379.05","","0.42%"
"11/14/1990","377.45","385.85","377.45","377.45","","-2.02%"
"11/13/1990","385.25","386.15","385.25","385.25","","0.96%"
"11/12/1990","381.60","385.00","381.60","381.60","","-0.79%"
"11/09/1990","384.65","388.80","384.65","384.65","","-0.67%"
"11/08/1990","387.25","388.00","387.25","387.25","","0.17%"
"11/07/1990","386.60","389.55","386.60","386.60","","0.32%"
"11/06/1990","385.35","386.25","385.35","385.35","","1.69%"
"11/05/1990","378.95","388.05","378.95","378.95","","0.65%"
"11/02/1990","376.50","381.75","376.50","376.50","","-1.32%"
"11/01/1990","381.55","383.85","381.55","381.55","","0.36%"
"10/31/1990","380.20","382.55","380.20","380.20","","0.38%"
"10/30/1990","378.75","380.65","378.75","378.75","","1.19%"
"10/29/1990","374.30","374.55","374.30","374.30","","0.82%"
"10/26/1990","371.25","378.50","371.25","371.25","","-1.38%"
