"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2000","269.40","270.45","269.40","269.40","","-0.35%"
"11/30/2000","270.35","266.90","270.35","270.35","","1.27%"
"11/29/2000","266.95","269.60","266.95","266.95","","-0.95%"
"11/28/2000","269.50","270.00","269.50","269.50","","-0.20%"
"11/27/2000","270.05","265.75","270.05","270.05","","1.54%"
"11/24/2000","265.95","266.05","265.95","265.95","","-0.02%"
"11/23/2000","266.00","267.25","266.00","266.00","","-0.24%"
"11/22/2000","266.65","265.85","266.65","266.65","","0.30%"
"11/21/2000","265.85","266.45","265.85","265.85","","-0.19%"
"11/20/2000","266.35","266.25","266.35","266.35","","0.21%"
"11/17/2000","265.80","265.85","265.80","265.80","","-0.02%"
"11/16/2000","265.85","264.85","265.85","265.85","","0.23%"
"11/15/2000","265.25","264.60","265.25","265.25","","0.23%"
"11/14/2000","264.65","264.55","264.65","264.65","","0.08%"
"11/13/2000","264.45","264.75","264.45","264.45","","-0.08%"
"11/10/2000","264.65","265.95","264.65","264.65","","-0.41%"
"11/09/2000","265.75","265.05","265.75","265.75","","0.23%"
"11/08/2000","265.15","264.65","265.15","265.15","","0.28%"
"11/07/2000","264.40","265.15","264.40","264.40","","-0.23%"
"11/06/2000","265.00","265.20","265.00","265.00","","-0.08%"
"11/03/2000","265.20","264.80","265.20","265.20","","0.21%"
"11/02/2000","264.65","264.65","264.65","264.65","","0.13%"
"11/01/2000","264.30","265.10","264.30","264.30","","-0.28%"
"10/31/2000","265.05","264.60","265.05","265.05","","0.08%"
"10/30/2000","264.85","264.75","264.85","264.85","","0.11%"
"10/27/2000","264.55","265.35","264.55","264.55","","-0.30%"
"10/26/2000","265.35","266.80","265.35","265.35","","-0.52%"
"10/25/2000","266.75","270.40","266.75","266.75","","-1.31%"
"10/24/2000","270.30","270.40","270.30","270.30","","-0.02%"
"10/23/2000","270.35","271.30","270.35","270.35","","-0.42%"
"10/20/2000","271.50","271.10","271.50","271.50","","0.24%"
"10/19/2000","270.85","270.75","270.85","270.85","","0.07%"
"10/18/2000","270.65","271.60","270.65","270.65","","-0.22%"
"10/17/2000","271.25","272.05","271.25","271.25","","-0.29%"
